x,y,z
0,0,0
1,1,-2
2,2,-4
3,3,-6
4,4,-8
5,5,-10
6,6,-12
7,7,-14
8,8,-16
9,9,-18
10,10,-20
11,11,-22
12,12,-24
13,13,-26
14,14,-28
15,15,-30
16,16,-32
17,17,-34
18,18,-36
19,19,-38
20,20,-40
21,21,-42
22,22,-44
23,23,-46
24,24,-48
25,25,-50
26,26,-52
27,27,-54
28,28,-56
29,29,-58
30,30,-60
31,31,-62
32,32,-64
33,33,-66
34,34,-68
35,35,-70
36,36,-72
37,37,-74
38,38,-76
39,39,-78
40,40,-80
41,41,-82
42,42,-84
43,43,-86
44,44,-88
45,45,-90
46,46,-92
47,47,-94
48,48,-96
49,49,-98
50,50,-100
51,51,-102
52,52,-104
53,53,-106
54,54,-108
55,55,-110
56,56,-112
57,57,-114
58,58,-116
59,59,-118
60,60,-120
61,61,-122
62,62,-124
63,63,-126
64,64,-128
65,65,-130
66,66,-132
67,67,-134
68,68,-136
69,69,-138
70,70,-140
71,71,-142
72,72,-144
73,73,-146
74,74,-148
75,75,-150
76,76,-152
77,77,-154
78,78,-156
79,79,-158
80,80,-160
81,81,-162
82,82,-164
83,83,-166
84,84,-168
85,85,-170
86,86,-172
87,87,-174
88,88,-176
89,89,-178
90,90,-180
91,91,-182
92,92,-184
93,93,-186
94,94,-188
95,95,-190
96,96,-192
97,97,-194
98,98,-196
99,99,-198
100,100,-200
101,101,-202
102,102,-204
103,103,-206
104,104,-208
105,105,-210
106,106,-212
107,107,-214
108,108,-216
109,109,-218
110,110,-220
111,111,-222
112,112,-224
113,113,-226
114,114,-228
115,115,-230
116,116,-232
117,117,-234
118,118,-236
119,119,-238
120,120,-240
121,121,-242
122,122,-244
123,123,-246
124,124,-248
125,125,-250
126,126,-252
127,127,-254
128,128,-256
129,129,-258
130,130,-260
131,131,-262
132,132,-264
133,133,-266
134,134,-268
135,135,-270
136,136,-272
137,137,-274
138,138,-276
139,139,-278
140,140,-280
141,141,-282
142,142,-284
143,143,-286
144,144,-288
145,145,-290
146,146,-292
147,147,-294
148,148,-296
149,149,-298
150,150,-300
151,151,-302
152,152,-304
153,153,-306
154,154,-308
155,155,-310
156,156,-312
157,157,-314
158,158,-316
159,159,-318
160,160,-320
161,161,-322
162,162,-324
163,163,-326
164,164,-328
165,165,-330
166,166,-332
167,167,-334
168,168,-336
169,169,-338
170,170,-340
171,171,-342
172,172,-344
173,173,-346
174,174,-348
175,175,-350
176,176,-352
177,177,-354
178,178,-356
179,179,-358
180,180,-360
181,181,-362
182,182,-364
183,183,-366
184,184,-368
185,185,-370
186,186,-372
187,187,-374
188,188,-376
189,189,-378
190,190,-380
191,191,-382
192,192,-384
193,193,-386
194,194,-388
195,195,-390
196,196,-392
197,197,-394
198,198,-396
199,199,-398
200,200,-400
201,201,-402
